
AWS Region Name	AWS Region Code
Asia Pacific (Mumbai)	        ap-south-1
Asia Pacific (Seoul)	        ap-northeast-2
Asia Pacific (Singapore)	ap-southeast-1
Asia Pacific (Sydney)	 	ap-southeast-2
Asia Pacific (Tokyo)		ap-northeast-1
Canada (Central)[Quebec]	ca-central-1
EU (Frankfurt)[Germany]		eu-central-1
EU (Ireland)[UK]		eu-west-1
EU (London)[UK]			eu-west-2
South America (Sao Paulo)	sa-east-1
US East (N. Virginia)		us-east-1
US East (Ohio)			us-east-2
US West (N. California)		us-west-1
US West (Oregon)		us-west-2
US Gov (Gov Cloud)		us-gov-1
